OBX,Siste
22.07.19 09:08:48,800.29
22.07.19 09:08:48,800.31
22.07.19 09:08:48,800.31
22.07.19 09:08:48,800.31
22.07.19 09:08:48,800.30
22.07.19 09:08:48,800.31
22.07.19 09:08:48,800.30
22.07.19 09:08:48,800.31
22.07.19 09:08:47,800.32
22.07.19 09:08:46,800.33
22.07.19 09:08:45,800.33
22.07.19 09:08:42,800.33
22.07.19 09:08:41,800.33
22.07.19 09:08:41,800.31
22.07.19 09:08:41,800.30
22.07.19 09:08:40,800.31
22.07.19 09:08:39,800.30
22.07.19 09:08:39,800.26
22.07.19 09:08:39,800.25
22.07.19 09:08:38,800.25
22.07.19 09:08:37,800.25
22.07.19 09:08:37,800.29
22.07.19 09:08:37,800.25
22.07.19 09:08:37,800.29
22.07.19 09:08:36,800.29
22.07.19 09:08:35,800.28
22.07.19 09:08:35,800.29
22.07.19 09:08:35,800.30
22.07.19 09:08:34,800.32
22.07.19 09:08:33,800.31
22.07.19 09:08:32,800.30
22.07.19 09:08:32,800.28
22.07.19 09:08:31,800.30
22.07.19 09:08:29,800.29
22.07.19 09:08:29,800.30
22.07.19 09:08:28,800.25
22.07.19 09:08:27,800.29
22.07.19 09:08:26,800.30
22.07.19 09:08:26,800.29
22.07.19 09:08:26,800.28
22.07.19 09:08:25,800.29
22.07.19 09:08:24,800.29
22.07.19 09:08:24,800.30
22.07.19 09:08:22,800.32
22.07.19 09:08:22,800.36
22.07.19 09:08:21,800.37
22.07.19 09:08:20,800.41
22.07.19 09:08:19,800.39
22.07.19 09:08:19,800.39
22.07.19 09:08:18,800.41
22.07.19 09:08:17,800.40
22.07.19 09:08:17,800.41
22.07.19 09:08:17,800.43
22.07.19 09:08:17,800.39
22.07.19 09:08:16,800.43
22.07.19 09:08:16,800.44
22.07.19 09:08:15,800.44
22.07.19 09:08:14,800.43
22.07.19 09:08:14,800.47
22.07.19 09:08:14,800.46
22.07.19 09:08:13,800.50
22.07.19 09:08:13,800.52
22.07.19 09:08:12,800.52
22.07.19 09:08:12,800.53
22.07.19 09:08:12,800.53
22.07.19 09:08:12,800.53
22.07.19 09:08:11,800.53
22.07.19 09:08:11,800.52
22.07.19 09:08:11,800.51
22.07.19 09:08:09,800.51
22.07.19 09:08:09,800.47
22.07.19 09:08:08,800.47
22.07.19 09:08:08,800.48
22.07.19 09:08:08,800.47
22.07.19 09:08:07,800.44
22.07.19 09:08:07,800.46
22.07.19 09:08:07,800.44
22.07.19 09:08:07,800.47
22.07.19 09:08:06,800.48
22.07.19 09:08:06,800.47
22.07.19 09:08:06,800.45
22.07.19 09:08:05,800.45
22.07.19 09:08:04,800.43
22.07.19 09:08:03,800.39
22.07.19 09:08:03,800.38
22.07.19 09:08:03,800.37
22.07.19 09:08:03,800.32
22.07.19 09:08:02,800.34
22.07.19 09:08:02,800.32
22.07.19 09:08:01,800.31
